"Density(kg/m3)","Temperature(K)"
0.005143338,274
0.005276352,274.373096
0.005412372,274.746192
0.005551454,275.119288
0.005693657,275.492384
0.00583904,275.86548
0.005987663,276.238576
0.006139586,276.611672
0.006294872,276.984768
0.006453584,277.357864
0.006615783,277.73096
0.006781536,278.104056
0.006950908,278.477152
0.007123965,278.850248
0.007300773,279.223344
0.007481403,279.59644
0.007665922,279.969536
0.007854402,280.342632
0.008046913,280.715728
0.008243527,281.088824
0.008444319,281.46192
0.008649362,281.835016
0.008858731,282.208112
0.009072504,282.581208
0.009290756,282.954304
0.009513568,283.3274
0.009741018,283.700496
0.009973188,284.073592
0.010210158,284.446688
0.010452011,284.819784
0.010698833,285.19288
0.010950707,285.565976
0.011207719,285.939072
0.011469958,286.312168
0.011737512,286.685264
0.012010469,287.05836
0.012288922,287.431456
0.012572961,287.804552
0.012862681,288.177648
0.013158175,288.550744
0.01345954,288.92384
0.013766871,289.296936
0.014080266,289.670032
0.014399826,290.043128
0.01472565,290.416224
0.01505784,290.78932
0.0153965,291.162416
0.015741733,291.535512
0.016093645,291.908608
0.016452342,292.281704
0.016817934,292.6548
0.017190529,293.027896
0.017570238,293.400992
0.017957173,293.774088
0.018351448,294.147184
0.018753177,294.52028
0.019162477,294.893376
0.019579465,295.266472
0.02000426,295.639568
0.020436982,296.012664
0.020877753,296.38576
0.021326697,296.758856
0.021783937,297.131952
0.022249599,297.505048
0.022723811,297.878144
0.023206703,298.25124
0.023698403,298.624336
0.024199044,298.997432
0.024708759,299.370528
0.025227682,299.743624
0.025755951,300.11672
0.026293702,300.489816
0.026841075,300.862912
0.027398211,301.236008
0.027965252,301.609104
0.028542341,301.9822
0.029129624,302.355296
0.029727249,302.728392
0.030335363,303.101488
0.030954117,303.474584
0.031583662,303.84768
0.032224152,304.220776
0.032875741,304.593872
0.033538586,304.966968
0.034212846,305.340064
0.034898679,305.71316
0.035596248,306.086256
0.036305716,306.459352
0.037027246,306.832448
0.037761006,307.205544
0.038507164,307.57864
0.03926589,307.951736
0.040037354,308.324832
0.040821731,308.697928
0.041619195,309.071024
0.042429923,309.44412
0.043254093,309.817216
0.044091885,310.190312
0.044943481,310.563408
0.045809066,310.936504
0.046688824,311.3096
0.047582942,311.682696
